fullName,born,flourished start,flourished end,died,uncertain,,,,
Sacra Argeorum,,,,,,0,0,VALID,VALID
Santra,,,,,,0,0,VALID,VALID
Saserna,,,,,,0,0,VALID,VALID
Publius Saturius,,,,,,0,0,VALID,VALID
Publius Mucius Scaevola,,,,,,0,0,VALID,VALID
Quintus Mucius Scaevola,,,,,,0,0,VALID,VALID
Q. Mucius Scaevola [pontifex],,,,,,0,0,VALID,VALID
Scaevus Memor,,,,,,0,0,VALID,VALID
Marcus Aemilius Scaurus,,,,,,0,0,VALID,VALID
Quintus Terentius Scaurus,,,,,,0,0,VALID,VALID
P. Cornel. Scipio Afr. ma.,,,,,,0,0,VALID,VALID
P. Cornel. Scipio Aem. Afr.,,,,,,0,0,VALID,VALID
P. Cornel. Scipio Nasica Ser.,,,,,,0,0,VALID,VALID
Septimius Serenus,,,,,,0,0,VALID,VALID
Quintus Serenus (Sammonicus),,,,,,0,0,VALID,VALID
Sevius Nicanor,,,,,,0,0,VALID,VALID
Sextilius Ena,,,,,,0,0,VALID,VALID
Siculus Flaccus,,,,,,0,0,VALID,VALID
Decimus Iunius Silanus,,,,,,0,0,VALID,VALID
Sinnius Capito,,,,,,0,0,VALID,VALID
Lucius Cornelius Sisenna,,,,,,0,0,VALID,VALID
Staberius Eros,,,,,,0,0,VALID,VALID
L. Aelius Praeconinus Stilo,,,,,,0,0,VALID,VALID
Gaius Iulius Caesar Strabo,,,,,,0,0,VALID,VALID
Sueius,,,,,,0,0,VALID,VALID
Lucius Cornelius Sulla,,,,,,0,0,VALID,VALID
"Sulpicia, Caleni uxor",,,,,,0,0,VALID,VALID
Servius Sulpicius Rufus,,,,,,0,0,VALID,VALID
Q. Aurelius Symmachus,,,,,,0,0,VALID,VALID
L. Aurel. Avianius Symmachus,,,,,,0,0,VALID,VALID
Tabulae Censoriae,,,,,,0,0,VALID,VALID
Tarquitius Priscus,,,,,,0,0,VALID,VALID
Ticidas,,,,,,0,0,VALID,VALID
Marcus Tullius Tiro,,,,,,0,0,VALID,VALID
Titinius,,,,,,0,0,VALID,VALID
Gaius Titius,,,,,,0,0,VALID,VALID
"Titius, gram.",,,,,,0,0,VALID,VALID
Trabea,,,,,,0,0,VALID,VALID
Imp. Marcus Ulpius Traianus,,,,,,0,0,VALID,VALID
Gaius Trebatius Testa,,,,,,0,0,VALID,VALID
Gnaeus Tremelius Scrofa,,,,,,0,0,VALID,VALID
Pompeius Trogus,,,,,,0,0,VALID,VALID
Quintus Aelius Tubero,,,,,,0,0,VALID,VALID
Turnus,,,,,,0,0,VALID,VALID
Sextus Turpilius,,,,,,0,0,VALID,VALID
Turranius Niger,,,,,,0,0,VALID,VALID
Vagellius,,,,,,0,0,VALID,VALID
"Valerius, comoed.",,,,,,0,0,VALID,VALID
Valerius Antias,,,,,,0,0,VALID,VALID
Quintus Valerius Soranus,,,,,,0,0,VALID,VALID
Iulius Valerius,,,,,,0,0,VALID,VALID
Gaius Valgius Rufus,,,,,,0,0,VALID,VALID
Lucius Varius Rufus,,,,,,0,0,VALID,VALID
P. Terentius Varro Atacinus,,,,,,0,0,VALID,VALID
Pseudo-Varro,,,,,,0,0,VALID,VALID
Velius Longus,,,,,,0,0,VALID,VALID
Veranius,,,,,,0,0,VALID,VALID
Lucius Verginius Rufus,,,,,,0,0,VALID,VALID
Marcus Verrius Flaccus,,,,,,0,0,VALID,VALID
Vibius Crispus,,,,,,0,0,VALID,VALID
Vita Iuvenalis,,,,,,0,0,VALID,VALID
Volcacius Sedigitus,,,,,,0,0,VALID,VALID
Volumnius,,,,,,0,0,VALID,VALID
Zeno of Verona,,,,,,0,0,VALID,VALID
