PRINCIPAL_PARTS,SHORT_DEFINITION,SIMPLE_LEMMA,PART_OF_SPEECH,Total_Count_in_Text,Location
dilabor –labi –lapsus sum,to slip,dilabor,Verb,2,7.18.1
quingenti –ae –a; quingentesimus –a –um,500; 500th,quingenti,Number,1,7.18.2
vectigal vectigalis n.,"tax, levy",vectigal,Noun,3,7.18.2
triceni –ae –a,"30 at a time, 30 each",triceni,Number,1,7.18.2
annua –orum n.,annual revenue; pension,annua,Noun,2,7.18.2
tutum –i n.,safety,tutum,Noun,1,7.18.3
supercurro –currere –curri –cursum,to run over or beyond,supercurro,Verb,1,7.18.3
antefero –ferre –tuli –latus –ferre,to bear before; to prefer,antefero,Verb,2,7.18.5
Iunia –ae f.,Junia (name),Iunia,Noun,1,7.19.1
matrona –ae f.,matron,matrona,Noun,1,7.19.2
tussis –is or tussedo –inis f.,a cough,tussis,Noun,1,7.19.3
macies –ei f.,emaciation,macies,Noun,2,7.19.3
bis,twice,bis,Number,2,7.19.4
minax –acis,"projecting, overhanging",minax,Adjective,1,7.19.5
comis –e,"courteous, friendly",comis,Adjective,1,7.19.7
convello –ere –velli –vulsus,to pull violently; pluck,convello,Verb,1,7.19.8
affligo affligere afflixi afflictus,"to beat, strike, crush",affligo,Verb,1,7.19.9
rescindo –ere –scidi –scissus,"to tear off or away, cancel",rescindo,Verb,3,7.19.9
uter utra utrum,either which (of two),uter,Adjective,2,7.19.10
ultor –oris m.,"avenger, punisher",ultor,Noun,1,7.19.10
annotatio (adnotatio) –onis f.,"a remark, annotation",annotatio,Noun,1,7.20.2
intervallum –i n.,the space between two stakes; an interval,intervallum,Noun,1,7.20.4
imitabilis –e,that can be imitated,imitabilis,Adjective,1,7.20.4
difficulter,with difficulty,difficulter,Adverb,1,7.21.1
adoperio –ire –operui –opertus,to cover up,adoperio,Verb,1,7.21.2
condisco condiscere condidici,learn thoroughly; learn about,condisco,Verb,1,7.21.2
gallina –ae f.,a hen,gallina,Noun,1,7.21.4
lippus –a –um,with inflamed eyes; half-blind,lippus,Adjective,1,7.21.4
Minicianus –i m.,Minicianus (name),Minicianus,Noun,1,7.22.2
Ummidia –ae f.,Ummidia (name),Ummidia,Noun,1,7.24.1
Quadratilla –ae f.,Quadratilla (name),Quadratilla,Noun,2,7.24.1
compingo –ere –pegi –pactus,to join together; p.,compingo,Verb,1,7.24.1
bes bessis m.,two-thirds of any whole,bes,Noun,1,7.24.2
pantomimus –i m. ,"a ballet-dancer, pantomime",pantomimus,Noun,3,7.24.4
sacerdotalis –e,"of or belonging to priests, priestly, sacerdotal ",sacerdotalis,Adjective,1,7.24.6
commissio (comisatio) –onis f.,"the start of games, etc.; and even",commissio,Noun,1,7.24.6
salto saltare,to dance,salto,Verb,2,7.24.6
plaudo plaudere plausi plausum,"to strike; clap; approve, applaud",plaudo,Verb,2,7.24.7
domina dominae f.,mistress,domina,Noun,1,7.24.7
theatralis –e ,related to the theater ,theatralis,Adjective,1,7.24.7
corollarium –i n.,"a garland, money paid for a garland; a gift, present",corollarium,Noun,1,7.24.7
Cassianus –a –um,of or belonging to Cassius,Cassianus,Adjective,1,7.24.8
pristinus –a –um,former,pristinus,Adjective,2,7.24.9
comp. of iuvenis –e,younger,comp,Adjective,1,7.25.2
procuratio –onis f.,"management, sacrifice",procuratio,Noun,2,7.25.2
Narbonensis –e,of Narbo,Narbonensis,Adjective,1,7.25.2
agricola agricolae m.,farmer,agricola,Noun,1,7.25.3
excello excellere excelsus,to excel,excello,Verb,1,7.25.4
multa,"much, greatly",multa,Adverb,1,7.25.5
seductus –a –um,"remote, distant",seductus,Adjective,1,7.25.5
paganus –a –um,"rustic, unlearned",paganus,Adjective,2,7.25.6
armo armare armavi armatus,"to equip, arm",armo,Verb,1,7.25.6
languor –oris m.,"feebleness, weariness",languor,Noun,1,7.26.1
libido libidinis f.,"passion, lust",libido,Noun,3,7.26.1
quantuluscumque –acumque –umcumque,however small,quantuluscumque,Pronoun,1,7.26.2
phantasma –atis n.,"apparition, spectre, phantom",phantasma,Noun,1,7.27.1
numen numinis n.,divine will,numen,Noun,4,7.27.1
Curtius –i m.,Curtius (name),Curtius,Noun,1,7.27.2
Carthago Carthaginis f.,Carthage,Carthago,Noun,1,7.27.3
proicio –icere ieci –iectum,"to cast forth, throw out, fling to the ground",proicio,Verb,1,7.27.3
terribilis terribile,terrifying,terribilis,Adjective,1,7.27.4
idolum or idolon –i n.,an idol; ghost,idolum,Noun,1,7.27.5
squalor –oris m.,foulness,squalor,Noun,1,7.27.5
promissus –a –um,"hanging down, long",promissus,Adjective,1,7.27.5
horrens –entis,bristling,horrens,Adjective,1,7.27.5
crus –uris n.,"shin, leg",crus,Noun,1,7.27.5
compes (conpes) compedis f.,"a fetter, shackle",compes,Noun,2,7.27.5
quatio quatere quassi quassum,to shake,quatio,Verb,1,7.27.5
dirus –a –um,"awful, ill-omened",dirus,Adjective,1,7.27.6
abscedo –cedere –cessi –cessum,"to give way, depart",abscedo,Verb,1,7.27.6
monstrum monstri n.,omen; monster,monstrum,Noun,1,7.27.6
