PRINCIPAL_PARTS,SHORT_DEFINITION,SIMPLE_LEMMA,PART_OF_SPEECH,Count_in_Selection,Location
domo domare domui domitus,"to subdue, dominate",domo,Verb,3,1.2.47
Bacchus –i m.,Bacchus,Bacchus,Noun,4,1.2.47
Gangeticus –a –um and Gangetis –idis,of or belonging to the Ganges,Gangeticus,Adjective,1,1.2.47
terra terrae f.,land,terra,Noun,23,1.2.47
ales –itis m./f.,bird,ales,Noun,7,1.2.48
tigris tigris m.,tiger,tigris,Noun,2,1.2.48
ergo,therefore,ergo,Conjunction,14,1.2.49
sacer sacra sacrum,holy,sacer,Adjective,7,1.2.49
parco parcere peperci parsus,to spare (+ dat.),parco,Verb,10,1.2.50
perdo perdere perdidi perditus,to destroy,perdo,Verb,11,1.2.50
victor victoris m.,"conqueror, victor",victor,Noun,3,1.2.50
ops opis f.,resources,ops,Noun,16,1.2.50
aspicio aspicere aspexi aspectus,to look at,aspicio,Verb,13,1.2.51
cognatus –a –um,near by birth,cognatus,Adjective,1,1.2.51
felix felicis,fortunate,felix,Adjective,11,1.2.51
Caesar Caesaris m.,Caesar (name),Caesar,Noun,4,1.2.51
protego –tegere –texi –tectum,"to cover, conceal; protect",protego,Verb,2,1.2.52
iustus –a –um,"just, fair",iustus,Adjective,5,1.3.1
precor precari precatus sum,"to beg, pray",precor,Verb,10,1.3.1
nuper,not long ago,nuper,Adverb,6,1.3.1
praedor –ari praedatus sum,to plunder,praedor,Verb,1,1.3.1
amo amare amavi amatus,to love,amo,Verb,45,1.3.2
semper,always,semper,Adverb,21,1.3.2
a,"ah! (expletive of distress, pity, or entreaty)",a,Interjection,5,1.3.3
tantum,only,tantum,Adverb,18,1.3.3
patior pati passus sum,"to permit, endure",patior,Verb,11,1.3.3
audio audire audivi auditus,to hear,audio,Verb,9,1.3.4
tot,so many,tot,Pronoun,9,1.3.4
Cytherea –ae f.,"Venus, the Cytherean goddess",Cytherea,Noun,1,1.3.4
prex precis f.,prayer,prex,Noun,8,1.3.4
deservio –ire –servire,"to serve, be devoted to",deservio,Verb,1,1.3.5
annus anni m.,year,annus,Noun,18,1.3.5
purus –a –um,pure,purus,Adjective,5,1.3.6
fides fidei f.,"trust, faith",fides,Noun,17,1.3.6
vetus veteris,old,vetus,Adjective,9,1.3.7
commendo commendare commendavi commendatus,"to entrust, recommend, approve",commendo,Verb,1,1.3.7
parens parentis m. or f.,parent,parens,Noun,10,1.3.7
nomen nominis n.,name,nomen,Noun,21,1.3.8
sanguis sanguinis m. or sanguen –inis n.,blood,sanguis,Noun,13,1.3.8
eques equitis m.,horseman,eques,Noun,6,1.3.8
innumerus –a –um,countless,innumerus,Adjective,1,1.3.9
renovo renovare renovavi renovatus,"to restore, refresh, renew",renovo,Verb,1,1.3.9
campus campi m.,plain,campus,Noun,5,1.3.9
tempero temperare temperavi temperatus,to moderate,tempero,Verb,2,1.3.10
sumptus –us m. ,"outlay, expense, cost, charge",sumptus,Noun,1,1.3.10
parcus –a –um,sparing,parcus,Adjective,3,1.3.10
uterque utraque utrumque,each of two,uterque,Pronoun,14,1.3.10
